Country,Region,Area,Irrigated,Popn,Under14,Life_expect,Literacy,Unemploy,ISPs_pm,Tvs_pp,Railways,Airports
Argentina,South.America,2766890,17000,37.4,26.5,75.2,96.2,15,0.88,0.21,33744,1359
Australia,Oceania,7686850,21070,19.4,20.6,79.87,100,6.4,13.61,5.36,33819,411
Bangladesh,Asia,144000,31000,131.3,35,60.54,56,35.2,0.08,0.01,2745,18
Brazil,South.America,8511965,28000,174.5,28.6,63.24,83.3,7.1,0.29,0.21,30539,3264
Bolivia,South.America,1098580,1750,8.3,38.5,64.1,83.1,11.4,1.08,0.11,3691,1093
Cameroon,Africa,475440,210,15.8,42.4,54.6,63.4,30,0.06,0.03,1104,49
Canada,North.America,9976140,7100,31.6,19,80,97,6.8,24.05,0.68,36114,1417
Chile,South.America,756950,12650,15.3,27.3,75.9,95.2,9,0.46,2.06,6701,366
China,Asia,9596960,498720,1273.1,25,71.6,81.5,10,0,0.31,67524,489
Czech.Republic,Europe,78866,240,10.3,16.1,74.6,99.9,8.7,29.13,0.33,9444,114
Denmark,Europe,43094,4350,5.3,18.6,76.7,100,5.3,2.45,0.58,2859,119
Egypt,Africa,1001450,32460,69.5,34.6,63.7,51.4,11.5,0.72,0.11,4955,90
Fiji,Oceania,18270,10,0.84,32.9,68.3,91.6,6,2.38,0.03,597,27
Finland,Europe,337030,640,5.2,18,77.6,100,9.8,4.42,0.62,5865,159
France,Europe,547030,16300,59.6,18.7,78.9,99,9.7,1.04,0.58,31939,475
Germany,Europe,357021,4750,83,15.6,77.6,99,9.9,1.48,0.62,40826,613
Ghana,Africa,238540,60,19.9,41.2,57.2,64.5,20,0.05,0.09,953,12
Hong.Kong,Asia,1092,20,7.2,17.7,79.7,92.2,4.5,2.36,0.26,34,3
Indonesia,Asia,1919440,45970,228.4,30.1,68.3,83.8,17.5,0,0,6458,453
Italy,Europe,301230,27100,57.7,14.17,79.1,98,10.4,1.61,0.53,19394,135
Japan,Asia,377835,27820,126.8,14.6,80.8,99,4.7,0.58,0.68,23670,173
Jordan,Middle.East,92300,630,5.2,37.2,77.5,86.6,20,0.96,0.1,677,18
Kenya,Africa,582650,660,30.8,42,47.5,78.1,50,0.16,0.02,2778,230
Kuwait,Middle.East,17820,20,2,28.8,76.3,78.6,1.8,1.5,0.44,0,8
Laos,Asia,236800,1250,5.6,42.8,53.5,57,5.7,0.18,0.01,0,51
Luxembourg,Europe,2586,10,0.44,18.9,77.3,100,2.7,18.18,0.66,274,2
Malaysia,Asia,329750,2941,22.2,34.5,71.1,83.5,2.8,0.32,0.49,1801,115
Mexico,North.America,1972550,61000,101.9,33.3,71.8,89.6,2.2,0.5,0.25,31048,1848
Namibia,Africa,825418,60,1.8,42.7,40.6,38,35,1.11,0.03,2382,131
Pakistan,Asia,803940,171100,144.6,40.5,61.5,42.7,6,0.21,0.02,8163,117
Portugal,Europe,92391,6300,10.1,17,75.9,87.4,4.3,1.58,0.33,2850,66
South.Africa,Africa,1219912,12700,43.6,32,48.1,81.8,30,1.01,0.12,21431,741
United.Kingdom,Europe,244820,1080,59.6,18.9,77.8,99,5.5,4.11,0.51,16878,489
USA,North.America,9629091,207000,278.1,21.1,77.3,97,4,28.05,0.79,225750,14720
Vietnam,Asia,329560,18600,79.9,32.1,69.6,93.7,25,0.06,0.05,2652,34
Yemen,Middle.East,527970,5674,18.1,47.2,60.2,38,30,0.06,0,0,50
Zambia,Africa,752614,460,9.8,47.4,37.3,78.2,50,0.31,0.03,2164,112
Zimbabwe,Africa,390580,1930,11.4,38.7,37.1,85,50,0.53,0.03,2759,455
